state	positive
Alabama	399
Alaska	12086
Arizona	4813
Arkansas	14170
California	80430
Colorado	21938
Connecticut	38116
Delaware	7270
District of Columbia	7869
Florida	46442
Georgia	38081
Hawaii	640
Idaho	14955
Illinois	2419
Indiana	96485
Iowa	28255
Kansas	8340
Kentucky	7688
Louisiana	34709
Maine	86010
Maryland	39762
Massachusetts	1713
Michigan	51915
Minnesota	16372
Mississippi	10945
Missouri	11432
Montana	470
Nebraska	19023
Nevada	1931
New Hampshire	10348
New Jersey	3596
New Mexico	148039
New York	5938
North Carolina	6906
North Dakota	351371
Ohio	28454
Oklahoma	5398
Oregon	3687
Pennsylvania	63056
Rhode Island	12795
South Carolina	8942
South Dakota	4027
Tennessee	18011
Texas	48693
Utah	7384
Vermont	31140
Virginia	940
Washington	18433
West Virginia	12687
Wisconsin	1491
Wyoming	754
Puerto Rico	2710

